LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE,NOTE
,,,,,6213,TANK A,,chartevents,74,,,,,carevue,,,
,,,,,6408,Multi podis boots,,chartevents,74,,,,,carevue,,,
,,,,,7508,CSM CHECK,,chartevents,74,,,,,carevue,,,
,,,,,44349,ultrafiltrate in,,outputevents,74,Free Form Intake,,,,carevue,,,
,,,,,50853,25-OH VITAMIN D,,labevents,74,CHEMISTRY,,BLOOD,,,,,
,,Tunneled (Hickman) Line Tip Cultured,,,225726,Tunneled (Hickman) Line Tip Cultured,,chartevents,74,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,1603,multi podis boots,,chartevents,73,,,,,carevue,,,
,,,,,2265,MVO2,,chartevents,73,,,,,carevue,,,
,,,,,4590,zosyn,,chartevents,73,,,,,carevue,,,
,,,,,6215,TANK B,,chartevents,73,,,,,carevue,,,
,,,,,6655,PCV Level,,chartevents,73,,,,,carevue,,,
,,,,,7875,umbi hrenia,,chartevents,73,,,,,carevue,,,
,,,,,45858,G-tube flush,,outputevents,73,Free Form Intake,,,,carevue,,,
,,,,,51124,PLASMA,,labevents,73,HEMATOLOGY,,ASCITES,40518-3,,,,
,,,,,51324,CD41,,labevents,73,HEMATOLOGY,,BONE MARROW,51319-2,,,,
,,HOB Measurement,,,226170,Head of Bead Measurement,Degree,chartevents,73,Treatments,,,,metavision,,Numeric,
,,PACU Gastric,,,226630,PACU Gastric,mL,outputevents,73,Output,,,,metavision,,Numeric,
,,,,,536,Peri Care,,chartevents,72,,,,,carevue,,,
,,,,,1619,Lepirudin,,chartevents,72,,,,,carevue,,,
,,,,,1981,HighMV Alarm,,chartevents,72,,,,,carevue,,,
,,,,,2386,passey muir,,chartevents,72,,,,,carevue,,,
,,,,,2493,cariporide,,chartevents,72,,,,,carevue,,,
,,,,,2831,FEM ABP,,chartevents,72,,,,,carevue,,,
,,,,,2908,ETOH Grams/hour,,chartevents,72,,,,,carevue,,,
,,,,,3433,Fever,,chartevents,72,,,,,carevue,,,
,,,,,5753,Calcium Chloride,,chartevents,72,,,,,carevue,,,
,,,,,41989,VENTRICULAR DRAIN,,outputevents,72,,,,,carevue,,,
,,,,,43336,Penrose drain,,outputevents,72,,,,,carevue,,,
,,,,,51272,"PROTEIN S, ANTIGEN",,labevents,72,HEMATOLOGY,,BLOOD,27823-4,,,,
,,Sump #2,,,226618,Sump #2,mL,outputevents,72,Drains,,,,metavision,,Numeric,
,,,,,51045,"UREA NITROGEN, BODY FLUID",,labevents,71,CHEMISTRY,,OTHER BODY FLUID,2/1/3093,,,,
,,,,,1670,driveP,,chartevents,71,,,,,carevue,,,
,,,,,2476,rectal tube deflate,,chartevents,71,,,,,carevue,,,
,,,,,2510,DEXTRAN LML 10%,,chartevents,71,,,,,carevue,,,
,,,,,2552,cistracurium mg/min,,chartevents,71,,,,,carevue,,,
,,,,,6657,DP,,chartevents,71,,,,,carevue,,,
,,,,,6898,TRACHEA DSG,,chartevents,71,,,,,carevue,,,
,,,,,7252,omeprazole,,chartevents,71,,,,,carevue,,,
,,,,,8528,Nares Patent [Right],,chartevents,71,,,,,carevue,,,
,,,,,42824,Drain Out #8 Jackson Pratt,,outputevents,71,,,,,carevue,,,
,,,,,51177,CD33,,labevents,71,HEMATOLOGY,,BLOOD,6/1/8102,,,,
,,,,,51408,CD4,,labevents,71,HEMATOLOGY,,OTHER BODY FLUID,17822-8,,,,
,,Red Rubber,,,226622,Red Rubber,mL,outputevents,71,Drains,,,,metavision,,Numeric,
,,,,,650,Spon Minute VE L/min,,chartevents,70,,,,,carevue,,,
,,,,,847,Tobramycin/Trough,,chartevents,70,Drug Level,,,,carevue,,,
,,,,,2045,icp left,,chartevents,70,,,,,carevue,,,
,,,,,2694,LEPIRUDIN MG/HR,,chartevents,70,,,,,carevue,,,
,,,,,2777,TLSO,,chartevents,70,,,,,carevue,,,
,,,,,5099,NaCl Supps,,chartevents,70,,,,,carevue,,,
,,,,,5626,Vidalyn,,chartevents,70,,,,,carevue,,,
,,,,,8109,broviac dsg,,chartevents,70,,,,,carevue,,,
,,,,,42509,JP MEDIAL,,outputevents,70,,,,,carevue,,,
,,,,,44405,ascitic drainage,,outputevents,70,,,,,carevue,,,
,,,,,51158,CD14,,labevents,70,HEMATOLOGY,,BLOOD,7/1/8111,,,,
,,,,,51452,NRBC,,labevents,70,HEMATOLOGY,,PLEURAL,,,,,
,,Doppler BP,,,224166,Doppler BP,mmHg,chartevents,70,Routine Vital Signs,,,,metavision,,Numeric,
,,Cerebral Subdural #2,,,226609,Cerebral Subdural #2,mL,outputevents,70,Drains,,,,metavision,,Numeric,
,,,,,1093,coccyx drsg change,,chartevents,69,,,,,carevue,,,
,,,,,1474,Folate,,chartevents,69,,,,,carevue,,,
,,,,,1822,PASSE-MUIR VALVE,,chartevents,69,,,,,carevue,,,
,,,,,1870,multipodis boots,,chartevents,69,,,,,carevue,,,
,,,,,2418,CARIPORIDE 20MG/HR,,chartevents,69,,,,,carevue,,,
,,,,,2566,Spontaneous VT,,chartevents,69,,,,,carevue,,,
,,,,,2669,svo2,,chartevents,69,,,,,carevue,,,
,,,,,2674,WAFFLE BOOT,,chartevents,69,,,,,carevue,,,
,,,,,2877,trach collar trial,,chartevents,69,,,,,carevue,,,
,,,,,3082,HIGH TIDAL VOL,,chartevents,69,,,,,carevue,,,
,,,,,6164,Lumbar open/clamped,,chartevents,69,,,,,carevue,,,
,,,,,7032,OR pillow,,chartevents,69,,,,,carevue,,,
,,,,,8148,Zidovudine/AZT,,chartevents,69,,,,,carevue,,,
,,Tobramycin (Peak),,,227450,Tobramycin (Peak),None,chartevents,69,Labs,,,,metavision,,Numeric with tag,
,,,,,2993,trache care,,chartevents,68,,,,,carevue,,,
,,,,,3114,PCV Driving Pressure,,chartevents,68,,,,,carevue,,,
,,,,,4219,Lasix,,chartevents,68,,,,,carevue,,,
,,,,,6841,DOPPLER FLAP CHECK,,chartevents,68,,,,,carevue,,,
,,,,,6842,FLAP BRISK CAP REFIL,,chartevents,68,,,,,carevue,,,
,,,,,6843,FLAP WARM GOOD COLOR,,chartevents,68,,,,,carevue,,,
,,,,,7044,tof,,chartevents,68,,,,,carevue,,,
,,,,,7692,Bivona mark,,chartevents,68,,,,,carevue,,,
,,,,,8093,Neonatal opium sol.,,chartevents,68,,,,,carevue,,,
,,,,,40975,drain flush,,outputevents,68,Free Form Intake,,,,carevue,,,
,,,,,45484,nutran tube feed,,outputevents,68,Free Form Intake,,,,carevue,,,
,,,,,51155,CD11C,,labevents,68,HEMATOLOGY,,BLOOD,1/1/8109,,,,
,,,,,2907,R groin sheath,,chartevents,67,,,,,carevue,,,
,,,,,2976,SHAVE,,chartevents,67,,,,,carevue,,,
,,,,,3052,waffle boot,,chartevents,67,,,,,carevue,,,
,,,,,4212,HEPARIN FLUSH,,chartevents,67,,,,,carevue,,,
,,,,,4340,Hep B vaccine,,chartevents,67,,,,,carevue,,,
,,,,,4363,Gel Pillow:,,chartevents,67,,,,,carevue,,,
,,,,,4937,circumcision care,,chartevents,67,,,,,carevue,,,
,,,,,5577,acytylcisteine,,chartevents,67,,,,,carevue,,,
,,,,,6160,R/L FLAP PULSE,,chartevents,67,,,,,carevue,,,
,,,,,7236,g-tube site,,chartevents,67,,,,,carevue,,,
,,,,,7268,Bed Rotation Left,,chartevents,67,,,,,carevue,,,
,,,,,8289,Mucomyst       mg/hr,,chartevents,67,,,,,carevue,,,
,,,,,44970,Cardiac Output,,outputevents,67,Free Form Intake,,,,carevue,,,
,,,,,51333,CD71,,labevents,67,HEMATOLOGY,,BONE MARROW,,,,,
,,,,,5505,O2 sat probe site,,chartevents,66,,,,,carevue,,,
,,,,,713,VO2I,,chartevents,66,,,,,carevue,,,
,,,,,1968,Verapamil,,chartevents,66,,,,,carevue,,,
,,,,,2185,CALCIUM GLUCONATE,,chartevents,66,,,,,carevue,,,
,,,,,2516,CARIPORIDE,,chartevents,66,,,,,carevue,,,
,,,,,4419,Hep B,,chartevents,66,,,,,carevue,,,
,,,,,4822,Mylanta,,chartevents,66,,,,,carevue,,,
,,,,,8103,surgical incision,,chartevents,66,,,,,carevue,,,
,,,,,40098,Drain Out #1 Penrose,,outputevents,66,,,,,carevue,,,
,,,,,40100,Drain Out #3 Penrose,,outputevents,66,,,,,carevue,,,
,,,,,42536,Dialysis output,,outputevents,66,,,,,carevue,,,
,,,,,51418,CD8,,labevents,66,HEMATOLOGY,,OTHER BODY FLUID,17824-4,,,,
,,,,,1199,HFO MAP,,chartevents,65,,,,,carevue,,,
,,,,,1976,hi min vent.,,chartevents,65,,,,,carevue,,,
,,,,,2203,SOLUMEDROL,,chartevents,65,,,,,carevue,,,
,,,,,2968,FEM ART BP,,chartevents,65,,,,,carevue,,,
,,,,,3086,spont Vt's,,chartevents,65,,,,,carevue,,,
,,,,,3498,MRI,,chartevents,65,,,,,carevue,,,
,,,,,4326,Hep B Vaccine,,chartevents,65,,,,,carevue,,,
,,,,,7065,Abdominal incision,,chartevents,65,,,,,carevue,,,
,,,,,7082,Acetylcysreine,,chartevents,65,,,,,carevue,,,
,,,,,8178,Heated Aerosol Neb,,chartevents,65,,,,,carevue,,,
,,,,,8279,Prednisolone Drops,,chartevents,65,,,,,carevue,,,
,,,,,44890,ultrafiltrate,,outputevents,65,Free Form Intake,,,,carevue,,,
,,,,,2064,in-exsufflator,,chartevents,64,,,,,carevue,,,
,,,,,2451,Passy-Muir Valve,,chartevents,64,,,,,carevue,,,
,,,,,2700,tslo brace,,chartevents,64,,,,,carevue,,,
,,,,,2956,ventriculostomy icp,,chartevents,64,,,,,carevue,,,
,,,,,3106,alcohol gtt,,chartevents,64,,,,,carevue,,,
,,,,,3124,LEFT AXILLA PULSE,,chartevents,64,,,,,carevue,,,
,,,,,4237,Glycerin supp,,chartevents,64,,,,,carevue,,,
,,,,,4305,Caffeine Citrate,,chartevents,64,,,,,carevue,,,
,,,,,4364,CEFOTAXIME,,chartevents,64,,,,,carevue,,,
,,,,,5807,color of toes,,chartevents,64,,,,,carevue,,,
,,,,,5808,Zygris,,chartevents,64,,,,,carevue,,,
,,,,,7126,Nystatin swabs,,chartevents,64,,,,,carevue,,,
,,,,,7748,Hydroceles,,chartevents,64,,,,,carevue,,,
,,,,,42465,Drain Out #6 Other,,outputevents,64,,,,,carevue,,,
,,,,,44029,PEG GOLYTELY,,outputevents,64,Free Form Intake,,,,carevue,,,
,,,,,51016,"MISCELLANEOUS, CSF",,labevents,64,CHEMISTRY,,CEREBROSPINAL FLUID (CSF),,,,,
,,,,,51205,FACTOR VII,,labevents,64,HEMATOLOGY,,BLOOD,9/1/3198,,,,
,,,,,51336,GLYCO A,,labevents,64,HEMATOLOGY,,BONE MARROW,33208-0,,,,
,,,,,1611,I time,,chartevents,63,,,,,carevue,,,
,,,,,2119,Slope,,chartevents,63,,,,,carevue,,,
,,,,,3056,APNEA INTERVAL TIME,,chartevents,63,,,,,carevue,,,
,,,,,4599,Hepatitis B Vaccine,,chartevents,63,,,,,carevue,,,
,,,,,4870,tooth buds,,chartevents,63,,,,,carevue,,,
,,,,,4875,cyclopentolate,,chartevents,63,,,,,carevue,,,
,,,,,5015,vidaylin,,chartevents,63,,,,,carevue,,,
,,,,,5391,ligation incision,,chartevents,63,,,,,carevue,,,
,,,,,7599,nasal septum,,chartevents,63,,,,,carevue,,,
,,,,,41623,dialysate out,,outputevents,63,,,,,carevue,,,
,,,,,42270,Drain Out #3 Jejunostomy Tube,,outputevents,63,,,,,carevue,,,
,,,,,45590,Drain #3 and wound,,outputevents,63,,,,,carevue,,,
,,,,,45898,BM (thick & easy) PG,,outputevents,63,Free Form Intake,,,,carevue,,,
,,,,,46506,penrose drain outpt,,outputevents,63,,,,,carevue,,,
,,,,,51044,TRIGLYCER,,labevents,63,CHEMISTRY,,OTHER BODY FLUID,12228-3,,,,
,,,,,51084,"GLUCOSE, URINE",,labevents,62,CHEMISTRY,,URINE,7/1/2350,,,,
,,,,,2640,SJ PH,,chartevents,62,,,,,carevue,,,
,,,,,1668,thigh,,chartevents,62,,,,,carevue,,,
,,,,,2033,High VE,,chartevents,62,,,,,carevue,,,
,,,,,2638,CEREBRAL LACTATE,,chartevents,62,,,,,carevue,,,
,,,,,2639,JPO2,,chartevents,62,,,,,carevue,,,
,,,,,3724,ABG CHLOIRDE,,chartevents,62,ABG's,,,,carevue,,,
,,,,,4737,PREDFORTE DROPS,,chartevents,62,,,,,carevue,,,
,,,,,4803,GT Site,,chartevents,62,,,,,carevue,,,
,,,,,4893,right hydrocele,,chartevents,62,,,,,carevue,,,
,,,,,5164,Carnitine,,chartevents,62,,,,,carevue,,,
,,,,,5554,zzzzuent Press mmHg,,chartevents,62,,,,,carevue,,,
,,,,,5756,PINPS,,chartevents,62,,,,,carevue,,,
,,,,,5832,DRIVING PRSSR,,chartevents,62,,,,,carevue,,,
,,,,,7611,Lumbar Drain,,chartevents,62,,,,,carevue,,,
,,,,,7697,LEG ROLL,,chartevents,62,,,,,carevue,,,
,,,,,8021,AutoRotation,,chartevents,62,,,,,carevue,,,
,,,,,8205,isoproterenol,,chartevents,62,,,,,carevue,,,
,,,,,40881,Hemodialysis,,outputevents,62,,,,,carevue,,,
,,,,,42508,JP LATERAL,,outputevents,62,,,,,carevue,,,
,,,,,1671,act,,chartevents,61,,,,,carevue,,,
,,,,,1771,Cisatricurium,,chartevents,61,,,,,carevue,,,
,,,,,1949,famotidine mg/hr,,chartevents,61,,,,,carevue,,,
,,,,,2504,no,,chartevents,61,,,,,carevue,,,
,,,,,2913,R FEM ART LINE,,chartevents,61,,,,,carevue,,,
,,,,,3136,Tongue midline,,chartevents,61,,,,,carevue,,,
,,,,,3137,Visual Field CheckL),,chartevents,61,,,,,carevue,,,
,,,,,3138,Visual field checkR),,chartevents,61,,,,,carevue,,,
,,,,,3521,Myoclonic Jerks,,chartevents,61,,,,,carevue,,,
,,,,,4820,HEP FLUSH,,chartevents,61,,,,,carevue,,,
,,,,,5792,left  lower leg cast,,chartevents,61,,,,,carevue,,,
,,,,,6471,Edema,,chartevents,61,,,,,carevue,,,
,,,,,6556,Prednisolone drops,,chartevents,61,,,,,carevue,,,
,,,,,7259,Triple Abx Ointment,,chartevents,61,,,,,carevue,,,
,,,,,7896,teeth brushed,,chartevents,61,,,,,carevue,,,
,,,,,42466,Drain Out #7 Other,,outputevents,61,,,,,carevue,,,
,,,,,45911,BM20PO+thick&easy,,outputevents,61,Free Form Intake,,,,carevue,,,
,,,,,46454,NS->JP::  CC:CC,,outputevents,61,Free Form Intake,,,,carevue,,,
,,,,,51159,CD15,,labevents,61,HEMATOLOGY,,BLOOD,17117-3,,,,
,,,,,51241,LEUKOCYTE ALKALINE PHOSPHATASE,,labevents,61,HEMATOLOGY,,BLOOD,9/1/4659,,,,
,,,,,2746,corlopam mcgs/kg/min,,chartevents,60,,,,,carevue,,,
,,,,,3281,Xigres mg/hr,,chartevents,60,,,,,carevue,,,
,,,,,4955,sweating,,chartevents,60,,,,,carevue,,,
,,,,,5062,MEROPENEM,,chartevents,60,,,,,carevue,,,
,,,,,6078,MV,,chartevents,60,,,,,carevue,,,
,,,,,6632,head circumference,,chartevents,60,,,,,carevue,,,
,,,,,51154,CD117,,labevents,60,HEMATOLOGY,,BLOOD,17107-4,,,,
,,,,,5501,O2 sat probe change,,chartevents,59,,,,,carevue,,,
,,,,,715,Vd/Vt Ratio (40-60%),,chartevents,59,,,,,carevue,,,
,,,,,1582,P high,,chartevents,59,,,,,carevue,,,
,,,,,1669,tlow,,chartevents,59,,,,,carevue,,,
,,,,,1714,Nicardipine HCl,,chartevents,59,,,,,carevue,,,
,,,,,2428,QUAD COUGHING,,chartevents,59,,,,,carevue,,,
,,,,,2443,PROTONIX DRIP,,chartevents,59,,,,,carevue,,,
,,,,,2470,BLADDER PRES.mm/Hg,,chartevents,59,,,,,carevue,,,
,,,,,2863,DEEP BREATH&COUGH,,chartevents,59,,,,,carevue,,,
,,,,,5153,Ceftazadime,,chartevents,59,,,,,carevue,,,
,,,,,5828,Multipodus Boots,,chartevents,59,,,,,carevue,,,
,,,,,5841,TPA,,chartevents,59,,,,,carevue,,,
,,,,,6353,rt groin sheath,,chartevents,59,,,,,carevue,,,
,,,,,6964,Epidural ml/hr,,chartevents,59,,,,,carevue,,,
,,,,,7471,Triple Abx oint,,chartevents,59,,,,,carevue,,,
,,,,,51038,"MISCELLANEOUS, BODY FLUID",,labevents,59,CHEMISTRY,,OTHER BODY FLUID,,,,,
,,,,,51083,"ETHANOL, URINE",,labevents,59,CHEMISTRY,,URINE,5644-0,,,,
,,,,,51182,CD41,,labevents,59,HEMATOLOGY,,BLOOD,17148-8,,,,
,,,,,51348,"HEMATOCRIT, CSF",,labevents,59,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),30398-2,,,,
,,Presep Catheter Line Tip Cultured,,,225734,Presep Catheter Line Tip Cultured,,chartevents,59,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,1878,methylprednisolone,,chartevents,58,,,,,carevue,,,
,,,,,2125,slope,,chartevents,58,,,,,carevue,,,
,,,,,2393,VISUAL FIELDS,,chartevents,58,,,,,carevue,,,
,,,,,3331,Blink Reflex [Left],,chartevents,58,,,,,carevue,,,
,,,,,4900,Oral Nystatin,,chartevents,58,,,,,carevue,,,
,,,,,4958,Tobramycin oint,,chartevents,58,,,,,carevue,,,
,,,,,5588,cyclosporin 3mg/hr,,chartevents,58,,,,,carevue,,,
,,,,,6778,Tri-vi-sol,,chartevents,58,,,,,carevue,,,
,,,,,6891,ISUPREL,,chartevents,58,,,,,carevue,,,
,,,,,8509,Blink Reflex [Right],,chartevents,58,,,,,carevue,,,
,,,,,41562,cardiac output fluid,,outputevents,58,Free Form Intake,,,,carevue,,,
,,,,,50848,"SODIUM, ASCITES",,labevents,58,CHEMISTRY,,ASCITES,49790-9,,,,
,,,,,50916,DHEA-SULFATE,,labevents,58,CHEMISTRY,,BLOOD,5/1/2191,,,,
,,,,,51191,CD64,,labevents,58,HEMATOLOGY,,BLOOD,17183-5,,,,
,,,,,2099,lymphedema sleeve,,chartevents,57,,,,,carevue,,,
,,,,,2145,tpa,,chartevents,57,,,,,carevue,,,
,,,,,2855,coccyx drsg,,chartevents,57,,,,,carevue,,,
,,,,,2920,cyclosporin mg/h,,chartevents,57,,,,,carevue,,,
,,,,,2952,RT RAD A LINE,,chartevents,57,,,,,carevue,,,
,,,,,3235,DRIVING PRESS,,chartevents,57,,,,,carevue,,,
,,,,,4441,trach care/site,,chartevents,57,,,,,carevue,,,
,,,,,4654,Hepatitis B vaccine,,chartevents,57,,,,,carevue,,,
,,,,,4738,RANITIDINE,,chartevents,57,,,,,carevue,,,
,,,,,4871,vit d,,chartevents,57,,,,,carevue,,,
,,,,,4990,wrist slpints,,chartevents,57,,,,,carevue,,,
,,,,,5039,dressing.,,chartevents,57,,,,,carevue,,,
,,,,,6110,xygris,,chartevents,57,,,,,carevue,,,
,,,,,6395,Phenylephrine gtts,,chartevents,57,,,,,carevue,,,
,,,,,40689,DRAIN FLUSH,,outputevents,57,Free Form Intake,,,,carevue,,,
,,,,,51193,CD71,,labevents,57,HEMATOLOGY,,BLOOD,4/1/8136,,,,
,,,,,1019,THIGH HI TEDS,,chartevents,56,,,,,carevue,,,
,,,,,2419,THIGH HI TEDS.,,chartevents,56,,,,,carevue,,,
,,,,,2583,Multipodus boots.,,chartevents,56,,,,,carevue,,,
,,,,,2646,Vent CPP,,chartevents,56,,,,,carevue,,,
,,,,,3286,solumedrol,,chartevents,56,,,,,carevue,,,
,,,,,7822,genta irrig cc/hr,,chartevents,56,,,,,carevue,,,
,,,,,7823,GT site,,chartevents,56,,,,,carevue,,,
,,,,,8258,Ursodeoxycholic Acid,,chartevents,56,,,,,carevue,,,
,,,,,8339,Neo Opium Solution,,chartevents,56,,,,,carevue,,,
,,,,,43840,MUCOUS FISTULA,,outputevents,56,,,,,carevue,,,
,,,,,51217,GLYCO A,,labevents,56,HEMATOLOGY,,BLOOD,17221-3,,,,
,,,,,51027,"BICARBONATE, OTHER FLUID",,labevents,55,CHEMISTRY,,OTHER BODY FLUID,11211-0,,,,
,,,,,1233,heliox,,chartevents,55,,,,,carevue,,,
,,,,,1648,HIGH ME,,chartevents,55,,,,,carevue,,,
,,,,,6280,flovent,,chartevents,55,,,,,carevue,,,
,,,,,7882,L leg perfusion,,chartevents,55,,,,,carevue,,,
,,,,,8031,KETAMINE 200mgm/50ML,,chartevents,55,,,,,carevue,,,
,,,,,8115,Lt hernia repair,,chartevents,55,,,,,carevue,,,
,,,,,42834,right pleural 3,,outputevents,55,,,,,carevue,,,
,,,,,51072,"AMYLASE, URINE",,labevents,55,CHEMISTRY,,URINE,6/1/1799,,,,
,,,,,51073,"AMYLASE/CREATININE RATIO, URINE",,labevents,55,CHEMISTRY,,URINE,34235-2,,,,
,,,,,51204,FACTOR V,,labevents,55,HEMATOLOGY,,BLOOD,3193-0,,,,
,,,,,1679,high min. vent.,,chartevents,54,,,,,carevue,,,
,,,,,1690,P low,,chartevents,54,,,,,carevue,,,
,,,,,2280,1:1 sitter,,chartevents,54,,,,,carevue,,,
,,,,,2553,svt,,chartevents,54,,,,,carevue,,,
,,,,,3043,RIGHT FEM ABP,,chartevents,54,,,,,carevue,,,
,,,,,3067,FEM MAP,,chartevents,54,,,,,carevue,,,
,,,,,3126,SLOPE,,chartevents,54,,,,,carevue,,,
,,,,,3191,DEFLATE RECTAL TUBE,,chartevents,54,,,,,carevue,,,
,,,,,6939,LUE AV fistula,,chartevents,54,,,,,carevue,,,
,,,,,7258,RLE ELEVATED,,chartevents,54,,,,,carevue,,,
,,,,,40893,Thoracentesis,,outputevents,54,,,,,carevue,,,
,,,,,44623,PD drainage,,outputevents,54,,,,,carevue,,,
,,,,,51208,FACTOR X,,labevents,54,HEMATOLOGY,,BLOOD,5/1/3218,,,,
,,,,,51022,"GLUCOSE, JOINT FLUID",,labevents,53,CHEMISTRY,,JOINT FLUID,1/1/2348,,,,
,,,,,1581,APRV,,chartevents,53,,,,,carevue,,,
,,,,,1681,high MV.,,chartevents,53,,,,,carevue,,,
,,,,,1742,QTC,,chartevents,53,,,,,carevue,,,
,,,,,1987,glucagon,,chartevents,53,,,,,carevue,,,
,,,,,2605,CARAIPORIDE CC/HR,,chartevents,53,,,,,carevue,,,
,,,,,3186,nicardipine,,chartevents,53,,,,,carevue,,,
,,,,,3343,CT Scan,,chartevents,53,,,,,carevue,,,
,,,,,4718,Broviac dsg Change,,chartevents,53,,,,,carevue,,,
,,,,,5883,desitin prn,,chartevents,53,,,,,carevue,,,
,,,,,6644,QVar,,chartevents,53,,,,,carevue,,,
,,,,,7339,leech therapy,,chartevents,53,,,,,carevue,,,
,,,,,7626,mitts,,chartevents,53,,,,,carevue,,,
,,,,,8272,Seizure pads,,chartevents,53,,,,,carevue,,,
,,,,,51149,BLEEDING TIME,,labevents,53,HEMATOLOGY,,BLOOD,11067-6,,,,
,,,,,1404,Bladder pressure,,chartevents,52,,,,,carevue,,,
,,,,,2036,high min.,,chartevents,52,,,,,carevue,,,
,,,,,3726,ABG SODIUM,,chartevents,52,ABG'S,,,,carevue,,,
,,,,,4227,lytes,,chartevents,52,,,,,carevue,,,
,,,,,5935,L Hand Grasp,,chartevents,52,,,,,carevue,,,
,,,,,7667,L chest incision,,chartevents,52,,,,,carevue,,,
,,,,,7668,CXT site,,chartevents,52,,,,,carevue,,,
,,,,,51203,FACTOR IX,,labevents,52,HEMATOLOGY,,BLOOD,3188-0,,,,
,,,,,1955,Xygris,,chartevents,51,,,,,carevue,,,
,,,,,2515,IABP-BP,,chartevents,51,,,,,carevue,,,
,,,,,3048,PEJ CARE TID,,chartevents,51,,,,,carevue,,,
,,,,,3285,ROTATION ON/OFF,,chartevents,51,,,,,carevue,,,
,,,,,4246,Combivent puffs,,chartevents,51,,,,,carevue,,,
,,,,,4542,Tobradex,,chartevents,51,,,,,carevue,,,
,,,,,4735,BACITRACIN OINTMENT,,chartevents,51,,,,,carevue,,,
,,,,,5040,scrotum,,chartevents,51,,,,,carevue,,,
,,,,,5114,Calcium glubionate,,chartevents,51,,,,,carevue,,,
,,,,,5936,R Hand Grasp,,chartevents,51,,,,,carevue,,,
,,,,,6267,NO2,,chartevents,51,,,,,carevue,,,
,,,,,6536,Erythromycin,,chartevents,51,,,,,carevue,,,
,,,,,7352,DRIVING  PRESSURE,,chartevents,51,,,,,carevue,,,
,,,,,42819,R pleural CT # 2,,outputevents,51,,,,,carevue,,,
,,,,,44241,D5W VIA J-TUBE,,outputevents,51,Free Form Intake,,,,carevue,,,
,,,,,51392,CD13,,labevents,51,HEMATOLOGY,,OTHER BODY FLUID,51238-4,,,,
,,,,,2013,Bupivacaine,,chartevents,50,,,,,carevue,,,
,,,,,2090,HI/minute/Vol,,chartevents,50,,,,,carevue,,,
,,,,,2301,CIS/CURIUM MG/KG/HR,,chartevents,50,,,,,carevue,,,
,,,,,3042,LEFT FEM ABP,,chartevents,50,,,,,carevue,,,
,,,,,4968,diaper area,,chartevents,50,,,,,carevue,,,
,,,,,5515,Na supps,,chartevents,50,,,,,carevue,,,
,,,,,6974,L arm elevated,,chartevents,50,,,,,carevue,,,
,,,,,7928,glucagon mg/hr,,chartevents,50,,,,,carevue,,,
,,,,,8533,"Seizure [Duration, seconds]",,chartevents,50,,,,,carevue,,,
,,,,,42619,peg tail flush,,outputevents,50,Free Form Intake,,,,carevue,,,
,,,,,43853,LP/ CSF REMOVED,,outputevents,50,,,,,carevue,,,
,,,,,46282,Drain Out #6 JP Medial,,outputevents,50,,,,,carevue,,,
,,,,,51160,CD15/56,,labevents,50,HEMATOLOGY,,BLOOD,18267-5,,,,
,,,,,51270,"PROTEIN C, ANTIGEN",,labevents,50,HEMATOLOGY,,BLOOD,27820-0,,,,
,,,,,51494,RBC CASTS,,labevents,50,HEMATOLOGY,,URINE,3/1/5807,,,,
,,,,,2062,NO ppm,,chartevents,49,,,,,carevue,,,
,,,,,2449,LT. AVF BRUIT/THRILL,,chartevents,49,,,,,carevue,,,
,,,,,4204,CIRC CARE,,chartevents,49,,,,,carevue,,,
,,,,,4490,NAS Score,,chartevents,49,,,,,carevue,,,
,,,,,4696,Calcium Glubionate,,chartevents,49,,,,,carevue,,,
,,,,,4972,erythromycin,,chartevents,49,,,,,carevue,,,
,,,,,5749,Percussion per bed,,chartevents,49,,,,,carevue,,,
,,,,,5937,ecmo l/min,,chartevents,49,,,,,carevue,,,
,,,,,6351,Train of Four,,chartevents,49,,,,,carevue,,,
,,,,,8259,omerprazole,,chartevents,49,,,,,carevue,,,
,,,,,8305,ICP  Right,,chartevents,49,,,,,carevue,,,
,,,,,40653,Drain Out #2 Jejunostomy Tube,,outputevents,49,,,,,carevue,,,
,,,,,45227,l chest tube #3,,outputevents,49,,,,,carevue,,,
,,L Ureteral Stent,,,226558,L Ureteral Stent,mL,outputevents,49,Output,,,,metavision,,Numeric,
,,PACU EBL,,,226629,PACU EBL,mL,outputevents,49,Output,,,,metavision,,Numeric,
,,,,,34,Add Gas Flow (Vent),,chartevents,48,,,,,carevue,,,
,,,,,2103,High minute volume,,chartevents,48,,,,,carevue,,,
,,,,,2405,mouth flap color,,chartevents,48,,,,,carevue,,,
,,,,,2409,nitro mcg/kg/min,,chartevents,48,,,,,carevue,,,
,,,,,2534,tidal volume,,chartevents,48,,,,,carevue,,,
,,,,,2794,r wrist brace,,chartevents,48,,,,,carevue,,,
